date,price_cut_pct
2018-03-01,11.48
2018-04-01,12.07
2018-05-01,14.1
2018-06-01,16.38
2018-07-01,19.46
2018-08-01,21.87
2018-09-01,23.79
2018-10-01,25.23
2018-11-01,23.7
2018-12-01,19.1
2019-01-01,15.12
2019-02-01,12.2
2019-03-01,12.67
2019-04-01,12.57
2019-05-01,14.89
2019-06-01,17.35
2019-07-01,20.03
2019-08-01,21.99
2019-09-01,24.01
2019-10-01,25.11
2019-11-01,23.59
2019-12-01,19.16
2020-01-01,15.53
2020-02-01,14.17
2020-03-01,14.37
2020-04-01,14.31
2020-05-01,14.33
2020-06-01,15.33
2020-07-01,15.28
2020-08-01,15.32
2020-09-01,15.35
2020-10-01,16.59
2020-11-01,16.79
2020-12-01,15.16
2021-01-01,12.31
2021-02-01,9.47
2021-03-01,8.48
2021-04-01,8.02
2021-05-01,9.1
2021-06-01,10.69
2021-07-01,13.66
2021-08-01,16.76
2021-09-01,19.78
2021-10-01,21.2
2021-11-01,20.57
2021-12-01,17.6
2022-01-01,13.95
2022-02-01,10.48
2022-03-01,9.21
2022-04-01,9.29
2022-05-01,12.02
2022-06-01,16.06
2022-07-01,20.59
2022-08-01,24.4
2022-09-01,26.74
2022-10-01,28.74
2022-11-01,28.56
2022-12-01,24.32
2023-01-01,20.61
2023-02-01,15.93
2023-03-01,14.83
2023-04-01,12.65
2023-05-01,13.99
2023-06-01,16.22
2023-07-01,19.31
2023-08-01,21.91
2023-09-01,24.76
2023-10-01,27.45
2023-11-01,28.03
2023-12-01,23.7
2024-01-01,19.53
2024-02-01,15.97
2024-03-01,16.67
2024-04-01,17.28
2024-05-01,19.35
2024-06-01,21.19
2024-07-01,23.58
2024-08-01,25.33
2024-09-01,27.08
2024-10-01,27.66
2024-11-01,26.29
2024-12-01,22.26
2025-01-01,19.4
2025-02-01,17.06
2025-03-01,17.48
2025-04-01,17.38
2025-05-01,19.32
2025-06-01,21.84
2025-07-01,24.4
2025-08-01,25.77
2025-09-01,27.26
2025-10-01,28.22
2025-11-01,27.24
2025-12-01,22.97
2026-01-01,19.42
2026-02-01,17.42
2026-03-01,17.76
2026-04-01,17.91
