LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOMES SOLD,MEDIAN SALE PRICE ($),MEDIAN DAYS ON MARKET (DAYS),AVERAGE SALE TO LIST RATIO (%),SHARE SOLD ABOVE ORIGINAL LIST (%),NEW LISTINGS,ACTIVE LISTINGS,PENDING SALES
2026-05-03,Rolling 3 Months,2026-02-01,2026-04-30,City,"Cottage Grove, MN",161,413786,39,99.72,34.4,231,347,199
2026-05-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Cottage Grove, MN",126,399200,43,98.95,28.57,177,298,161
2026-05-03,Rolling 3 Months,2025-12-01,2026-02-28,City,"Cottage Grove, MN",130,406250,41,99.07,19.23,137,271,134
2026-05-03,Rolling 3 Months,2025-11-01,2026-01-31,City,"Cottage Grove, MN",142,394900,39,98.87,16.2,120,268,110
2026-05-03,Rolling 3 Months,2025-10-01,2025-12-31,City,"Cottage Grove, MN",170,399905,34,99.46,19.41,160,284,144
2026-05-03,Rolling 3 Months,2025-09-01,2025-11-30,City,"Cottage Grove, MN",173,415000,28,99.89,24.86,197,318,157
2026-05-03,Rolling 3 Months,2025-08-01,2025-10-31,City,"Cottage Grove, MN",184,415000,27,99.83,26.09,229,344,173
2026-05-03,Rolling 3 Months,2025-07-01,2025-09-30,City,"Cottage Grove, MN",204,412000,30,99.84,25.49,214,339,182
2026-05-03,Rolling 3 Months,2025-06-01,2025-08-31,City,"Cottage Grove, MN",207,408403,26,100.18,29.47,217,343,194
2026-05-03,Rolling 3 Months,2025-05-01,2025-07-31,City,"Cottage Grove, MN",206,400000,23,100.64,33.5,215,337,204
2026-05-03,Rolling 3 Months,2025-04-01,2025-06-30,City,"Cottage Grove, MN",193,405000,18,101.02,38.86,232,335,198
2026-05-03,Rolling 3 Months,2025-03-01,2025-05-31,City,"Cottage Grove, MN",185,391500,28,100.58,35.14,233,329,197
2026-05-03,Rolling 3 Months,2025-02-01,2025-04-30,City,"Cottage Grove, MN",162,389900,38,100.32,35.8,214,312,183
2026-05-03,Rolling 3 Months,2025-01-01,2025-03-31,City,"Cottage Grove, MN",144,384000,46,99.92,30.56,190,284,173
2026-05-03,Rolling 3 Months,2024-12-01,2025-02-28,City,"Cottage Grove, MN",129,403712,50,99.84,26.36,147,255,145
2026-05-03,Rolling 3 Months,2024-11-01,2025-01-31,City,"Cottage Grove, MN",138,402424,45,99.7,20.29,127,245,134
2026-05-03,Rolling 3 Months,2024-10-01,2024-12-31,City,"Cottage Grove, MN",157,409900,39,99.88,21.66,127,274,140
2026-05-03,Rolling 3 Months,2024-09-01,2024-11-30,City,"Cottage Grove, MN",164,394900,36,99.73,23.17,166,289,151
2026-05-03,Rolling 3 Months,2024-08-01,2024-10-31,City,"Cottage Grove, MN",183,400000,34,99.87,27.32,204,315,166
2026-05-03,Rolling 3 Months,2024-07-01,2024-09-30,City,"Cottage Grove, MN",205,400000,29,99.93,32.2,204,327,171
2026-05-03,Rolling 3 Months,2024-06-01,2024-08-31,City,"Cottage Grove, MN",221,400000,21,100.53,39.37,207,342,178
2026-05-03,Rolling 3 Months,2024-05-01,2024-07-31,City,"Cottage Grove, MN",211,390058,20,100.81,44.55,239,356,205
